Variável,Controle,Tratamento,Diff. Normalizada,Balanceado
Admissões (média),2655.3378059077413,3409.8367359251365,0.0601499994694979,✓
Desligamentos (média),2321.3263577945754,2916.919394152699,0.05521449742014426,✓
Saldo (média),334.011448113166,492.9173417724364,0.08652313300320223,✓
Salário médio (R$),2738.765084940783,5388.2058915789075,0.6845673527635185,⚠️
Idade média,32.75280347197671,31.799215575971562,-0.17225423640592874,✓
% Mulheres,0.27894398433473067,0.4414217194696927,0.6964660949246034,⚠️
% Superior,0.15574079807002825,0.4189386567303579,1.1501362347597617,⚠️
Meses,22.570564516129032,21.85496183206107,-0.21871134947056506,✓
