id_municipio,media_acessos_pre,pct_fibra_pre,populacao,domicilios,pib,pib_per_capita,penetracao_bl,alta_conectividade,conectividade_q75,conectividade_q25,alta_fibra
1100023,19923.5,0.0,96833,34784,3209761000,33147.387770698006,0.5727777138914444,1,1,1,0
1100049,14243.272727272728,0.0,86887,31931,2792383000,32138.098910078606,0.446064098439533,1,0,1,0
1100114,9380.636363636364,0.0,50591,18957,1765089000,34889.38744045384,0.4948375989679994,1,1,1,0
1100122,23201.772727272728,0.0,124333,45034,4231113000,34030.490698366484,0.515205682978921,1,1,1,0
1100205,123065.72727272728,0.0,460434,152021,20059522000,43566.55242662357,0.8095310994713052,1,1,1,0
1100288,6312.363636363636,0.0,56406,21004,1565194000,27748.714675743715,0.3005315004934125,1,0,1,0
1100304,17285.81818181818,0.0,95832,35022,4215046000,43983.700642791555,0.493570275307469,1,1,1,0
1200203,6516.909090909091,0.0,91888,26747,2058630000,22403.687097335885,0.2436500949979097,0,0,1,0
1200401,77254.27272727272,0.0,364756,123919,10955675000,30035.626555834584,0.6234255661139351,1,1,1,0
1301209,557.6818181818181,0.0,70616,17580,3380278000,47868.443412257846,0.03172251525493846,0,0,0,0
1301704,466.22727272727275,0.0,57473,14441,860168000,14966.47121256938,0.03228497145123418,0,0,0,0
1301852,1754.6818181818182,0.0,61163,17812,1001862000,16380.197178032471,0.09851121817773513,0,0,0,0
1301902,5731.772727272727,0.0,103598,27724,2350463000,22688.304793528834,0.2067440747104576,0,0,1,0
1302504,5758.454545454545,0.0,101883,26901,1544675000,15161.26340998989,0.21406098455278783,0,0,1,0
1302603,418557.13636363635,0.0,2063689,630577,103281436000,50046.996422426055,0.6637684792874404,1,1,1,0
1302702,1380.3636363636363,0.0,53914,12193,686279000,12729.142708758392,0.11320951663771314,0,0,0,0
1302900,708.6818181818181,0.0,61204,13294,595827000,9735.099013136396,0.053308396132226425,0,0,0,0
1303403,599.4545454545455,0.0,96372,23919,1426984000,14807.03938903416,0.02506185649293639,0,0,0,0
1303809,385.09090909090907,0.0,51795,10653,423054000,8167.8540399652475,0.03614858810578326,0,0,0,0
1304062,315.5,0.0,66764,13881,758036000,11353.963213707986,0.022728910020891866,0,0,0,0
1304203,359.59090909090907,0.0,73669,17469,1098392000,14909.826385589597,0.020584515947730784,0,0,0,0
1400100,69245.18181818182,0.0,413486,119466,13493364000,32633.182260100704,0.5796225019518677,1,1,1,0
1500107,7897.0,0.0,158188,43050,1949341000,12322.938528839102,0.18343786295005807,0,0,1,0
1500206,672.0,0.0,59023,17071,1433440000,24286.125747589922,0.0393650049792045,0,0,0,0
1500404,984.1818181818181,0.0,69377,17933,745403000,10744.238003949436,0.05488104712997369,0,0,0,0
1500602,12536.0,0.0,126279,41303,3120219000,24708.930225928303,0.30351306200518124,1,0,1,0
1500800,52865.86363636364,0.0,478778,154984,8939830000,18672.182096921748,0.3411052988460979,1,0,1,0
1501204,319.09090909090907,0.0,51641,12125,562147000,10885.672237175888,0.026316776007497655,0,0,0,0
1501303,9633.954545454546,0.0,126650,38015,9243937000,72988.05369127517,0.2534250834000933,0,0,1,0
1501402,244718.5,0.0,1303403,423268,33467126000,25676.729300147384,0.5781644253758847,1,1,1,0
1501501,1861.6818181818182,0.0,63567,20509,1986729000,31254.094105432065,0.09077389527435849,0,0,0,0
1501709,5377.545454545455,0.0,123082,37091,1389573000,11289.814920134544,0.14498248778802014,0,0,1,0
1501808,3934.909090909091,0.0,106968,24366,893933000,8357.013312392492,0.16149179557207136,0,0,1,0
1502103,956.0454545454545,0.0,134184,33337,1393690000,10386.40970607524,0.028678209033369966,0,0,0,0
1502152,10759.181818181818,0.0,77079,24384,34989610000,453944.7839229881,0.44123941183488424,1,0,1,0
1502202,6178.954545454545,0.0,70394,23079,1427144000,20273.659686905135,0.26773060121558756,0,0,1,0
1502301,3389.2272727272725,0.0,56506,18226,615773000,10897.47991363749,0.18595562782438674,0,0,1,0
1502400,25778.727272727272,0.0,192256,63870,4709312000,24495.006657789614,0.4036124514283274,1,0,1,0
1502939,2698.6363636363635,0.0,58484,15363,940611000,16083.219342042268,0.17565816335587864,0,0,1,0
1503309,373.45454545454544,0.0,64831,16941,691233000,10662.07524178248,0.02204442154858305,0,0,0,0
1503606,7752.181818181818,0.0,123314,36511,3078558000,24965.194544009602,0.21232455474190842,0,0,1,0
1503903,906.4090909090909,0.0,50881,12360,1451756000,28532.379473673867,0.07333406884377758,0,0,0,0
1504208,23082.727272727272,0.0,266533,86077,13523145000,50737.225784424445,0.2681637054349858,1,0,1,0
1504422,1937.6818181818182,0.0,111785,35900,2578541000,23066.967840050096,0.053974423904786024,0,0,0,0
1504703,1619.2272727272727,0.0,84094,25047,1348481000,16035.400860941327,0.06464755350849494,0,0,0,0
1504802,3049.5454545454545,0.0,60012,18338,807340000,13452.976071452376,0.16629651295372747,0,0,1,0
1505064,463.3181818181818,0.0,60732,18562,1117034000,18392.840677073043,0.024960574389515235,0,0,0,0
1505106,1024.7272727272727,0.0,52229,14612,965930000,18494.131612705583,0.07012915909713063,0,0,0,0
1505304,1662.5454545454545,0.0,68294,17966,2278575000,33364.20476176531,0.09253843117808386,0,0,0,0
1505502,9137.772727272728,0.0,105550,33025,4280508000,40554.315490288966,0.276692588259583,1,0,1,0
1505536,33174.77272727273,0.0,267836,87739,49763040000,185796.68155139714,0.3781074861495199,1,0,1,0
1505809,1267.590909090909,0.0,62503,13292,945733000,15131.001711917828,0.09536494952534676,0,0,0,0
