Coefficient,coef,se,p_value
triple_did,-0.015758957589702045,0.008346245440283175,0.0594469371895594
post_alta_exp,0.008356547603847627,0.007817749862200655,0.2854989778285877
post_alta_conect,0.017177920815503744,0.007670558811764124,0.02546020157934792
alta_exp_alta_conect,0.03653433654687763,0.009759894830440883,0.00019754562125839925
