t,coef,se,p_value,is_reference,is_pre,ci_low,ci_high
-12,0.02854399765308549,0.10916896795945874,0.7938187216826731,False,True,-0.18542717954745364,0.24251517485362462
-11,-0.043942924034158545,0.13653723928992523,0.7476822328613033,False,True,-0.311555913042412,0.22367006497409486
-10,0.04388606159889297,0.14320328202279228,0.7593560932545012,False,True,-0.2367923711657799,0.3245644943635658
-9,0.028465717747832103,0.10553159201055218,0.7874516186189557,False,True,-0.17837620259285017,0.23530763808851438
-8,0.1083516823651312,0.11813541905806638,0.3593993541402445,False,True,-0.1231937389886789,0.3398971037189413
-7,-0.0325791363200318,0.15310795136493546,0.8315634052859162,False,True,-0.3326707209953053,0.26751244835524174
-6,0.08564080272709897,0.11919310300662371,0.47271339095705756,False,True,-0.1479776791658835,0.3192592846200814
-5,-0.0420721117033172,0.1150185989319489,0.7146484740720114,False,True,-0.267508565609937,0.18336434220330264
-4,0.10261887333363993,0.12690780553408154,0.4190459406368521,False,True,-0.1461204255131599,0.35135817218043974
-3,0.053881532285103874,0.10845288694061396,0.6194900604413149,False,True,-0.1586861261184995,0.26644919068870726
-2,0.1345855463989737,0.10638009712249547,0.2062909448582566,False,True,-0.07391944396111741,0.34309053675906476
-1,0.0,0.0,,True,True,0.0,0.0
0,0.11502380442599602,0.13604274358039312,0.3981551256097329,False,False,-0.15161997299157448,0.38166758184356653
1,0.11393731619932176,0.12742419058109988,0.371580087377648,False,False,-0.135814097339634,0.36368872973827754
2,0.11580722795196252,0.1130077957530122,0.30586533479284217,False,False,-0.10568805172394138,0.3373025076278664
3,-0.05421931321040905,0.13262005734331261,0.6828023886200065,False,False,-0.31415462560330176,0.20571599918248365
4,0.03177974927252306,0.1359142357489183,0.8151993086323759,False,False,-0.23461215279535683,0.29817165134040297
5,-0.0028527820593253054,0.09930061762142012,0.9770900581635775,False,False,-0.19748199259730873,0.19177642847865814
6,0.005737212781130408,0.11243581909385966,0.959320583674586,False,False,-0.21463699264283453,0.22611141820509534
7,-0.06399111604545227,0.12367978158440157,0.6050636780781793,False,False,-0.30640348795087935,0.17842125585997481
8,0.032374702685921214,0.12095682097354513,0.7890527420913824,False,False,-0.20470066642222723,0.26945007179406966
9,-0.06418848784318741,0.12008455608937929,0.5931658677375966,False,False,-0.2995542177783708,0.17117724209199597
10,-0.04238297264412829,0.12339603741493857,0.731359034513293,False,False,-0.28423920597740787,0.1994732606891513
11,-0.02817883040950173,0.13377920970533877,0.8332389863414138,False,False,-0.29038608143196576,0.23402842061296228
12,-0.10956911718765093,0.14824527098266121,0.46011818476707633,False,False,-0.40012984831366694,0.18099161393836505
13,-0.1712238034128305,0.14832288154947895,0.2487756735821418,False,False,-0.46193665124980926,0.11948904442414826
14,0.05853120719815915,0.13608239401175606,0.6672588573796727,False,False,-0.2081902850648827,0.325252699461201
15,0.12383385137510425,0.14618040250961659,0.3972451989181338,False,False,-0.16267973754374424,0.41034744029395276
16,-0.09332666274252747,0.12390256108846505,0.4515962379438343,False,False,-0.33617568247591895,0.14952235699086402
17,0.006465578781620487,0.1272800667246436,0.9595025998188287,False,False,-0.24300335199868095,0.25593450956192193
18,0.09343098398018988,0.11376023008025656,0.4117885427233532,False,False,-0.12953906697711298,0.3164010349374927
19,0.13035471914152164,0.12956947445449848,0.31477398611317886,False,False,-0.12360145078929541,0.3843108890723387
20,0.12651367406381456,0.1247202129181838,0.3107921698673253,False,False,-0.11793794325582568,0.3709652913834548
21,0.09109748944166236,0.09101730749171134,0.3172698554219213,False,False,-0.08729643324209187,0.2694914121254166
22,-0.0058675070584544185,0.12476016059068407,0.9625040346472222,False,False,-0.2503974218161952,0.23866240769928634
23,-0.014267405481349324,0.14321517729697752,0.9206760916196981,False,False,-0.29496915298342524,0.26643434202072663
24,0.11030618652058874,0.10956997637433805,0.314457516054512,False,False,-0.10445096717311383,0.3250633402142913
